name            attack_score    key_passes  chances_created total_shots shot_accuracy   shots_inside_box    points  price

Bolasie         19.93           0.77        0.88            2.19        0.59            1.04
Cabaye          12.45           1.48        1.52            2.03        0.45            0.55
Lennon          11.86           0.92        0.92            0.72        0.73            0.44
Fellaini        8.01            0.61        0.61            1.28        0.50            1.11
Redmond         14.69           1.20        1.29            1.54        0.45            0.80
Walters         8.63            0.78        0.89            1.19        0.46            1.11
Bojan           12.80           0.93        0.96            1.33        0.52            0.67
Lens            9.84            0.75        0.90            1.30        0.37            0.55
Success         8.92            0.77        0.83            1.87        0.41            1.17
Xhaka           10.57           0.75        0.79            1.18        0.48            0.36
Stanislas       12.15           1.48        1.57            2.10        0.32            0.90
Gradel          7.67            0.57        0.71            1.29        0.55            0.86
King            13.45           0.74        0.81            1.77        0.51            1.32
Boyd            9.46            0.77        0.89            1.16        0.44            0.70
Arfield         8.95            0.87        1.00            1.26        0.40            0.59
Gudmundsson     20.95           1.65        1.93            2.32        0.54            0.67
Moses           6.52            0.67        0.76            1.05        0.25            0.67
Puncheon        13.23           1.81        1.90            1.74        0.39            0.77
Zaha            8.05            1.18        1.21            0.94        0.39            0.74
Sako            13.00           0.40        0.45            1.70        0.61            0.90
Cleverley       13.10           0.86        1.05            1.09        0.54            0.59
Albrighton      10.36           1.47        1.63            1.11        0.39            0.39
Drinkwater      9.23            1.06        1.26            1.17        0.30            0.26
Kapustka
Fernandinho     6.47            0.79        0.85            0.88        0.24            0.45
Gundogan        16.83           0.92        1.04            2.00        0.39            0.48
Zinchenko
Ramirez         21.27           2.06        2.13            2.19        0.54            1.00
Davis           9.21            1.47        1.56            0.59        0.60            0.35
Ki Sung-yueng   6.26            0.75        0.79            0.86        0.41            0.50
Montero         5.48            1.04        1.13            0.87        0.50            0.57
Dier            5.36            0.43        0.49            0.81        0.33            0.35
Dembele         16.90           0.93        0.97            0.76        0.56            0.21
Gardner         7.08            0.62        0.71            1.35        0.33            0.47
Kouyate         11.07           0.56        0.62            1.32        0.51            1.06
Feghouli        3.28            1.19        1.24            1.05        0.50            0.76
Elneny          9.59            0.18        0.27            1.18        0.40            0.27
Arter           7.61            1.24        1.24            1.71        0.28            0.14
Pugh            9.22            0.42        0.50            0.85        0.65            0.62
Surman          3.99            1.05        1.13            0.42        0.00            0.11
Gosling         7.06            0.76        0.79            1.18        0.38            0.56
Matic           10.10           0.52        0.58            1.03        0.40            0.36
Kante           5.80            0.70        0.81            0.57        0.28            0.08
McArthur        4.45            0.71        0.79            0.57        0.36            0.25
McCarthy        6.04            0.41        0.48            0.55        0.54            0.17
Gray            5.01            0.42        0.50            0.42        0.75            0.17
Can             9.89            1.03        1.03            1.00        0.59            0.33
Grujic
Fernando        6.11            0.33        0.33            0.62        0.45            0.54
Schneiderlin    2.25            0.31        0.31            0.38        0.14            0.24
Clasie          2.45            0.64        0.64            0.64        0.13            0.14
Allen           6.17            0.58        0.63            0.63        0.44            0.42
Imbula          19.36           0.79        0.79            1.50        0.29            0.29
Larsson         3.61            0.33        0.39            0.39        0.33            0.11
Watmore         6.16            0.52        0.57            0.61        0.67            0.48
Cork            6.35            0.80        0.86            0.54        0.50            0.14
Routledge       5.53            1.00        1.04            0.64        0.69            0.39
Fer             3.51            0.55        0.73            0.45        0.25            0.18
Wanyama         4.18            0.47        0.50            1.03        0.21            0.53
